lucide_concept,lucide_imports,importing_files,component_files,docs_files,suggested_hugeicons,suggested_import_symbol,suggested_subpath_import,alternative_1,alternative_2,confidence,review_status,preferred_alternative,notes,locations
RotateCw,RotateCwIcon,4,0,4,rotate-cw,RotateCwIcon,@hugeicons/core-free-icons/RotateCwIcon,rotate-cw-square,refresh-cw,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/message-scroller/demos/anchoring-demo.tsx | apps/docs/src/pages/message-scroller/demos/animation-demo.tsx | apps/docs/src/pages/message-scroller/demos/context-demo.tsx | apps/docs/src/pages/message-scroller/demos/streaming-demo.tsx
Share,Share | ShareIcon,4,2,2,share-01,Share01Icon,@hugeicons/core-free-icons/Share01Icon,share-location-01,share-02,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/context-menu/index.tsx | apps/docs/src/pages/dropdown-menu/index.tsx | packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/message.tsx
SmilePlus,SmilePlus | SmilePlusIcon,4,1,3,smile-plus,SmilePlusIcon,@hugeicons/core-free-icons/SmilePlusIcon,smile,smile-dizzy,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/bubble/index.tsx | apps/docs/src/pages/emoji-picker/index.tsx | apps/docs/src/pages/message/index.tsx | packages/ui/src/components/emoji-picker.tsx
Trash2,Trash2,4,3,1,delete-02,Delete02Icon,@hugeicons/core-free-icons/Delete02Icon,delete-01,delete-03,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/core/icons/index.tsx | packages/ui/src/components/attachment.tsx | packages/ui/src/components/chat-head.tsx | packages/ui/src/components/drop-zone.tsx
CheckCheck,CheckCheck,3,3,0,check-check,CheckCheckIcon,@hugeicons/core-free-icons/CheckCheckIcon,check,check-line,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/app-sidebar.tsx | packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/message.tsx
CircleAlert,CircleAlert,3,3,0,alert-circle,AlertCircleIcon,@hugeicons/core-free-icons/AlertCircleIcon,message-circle-warning,circle,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/field.tsx | packages/ui/src/components/message.tsx
CircleHelp,CircleHelp,3,3,0,help-circle,HelpCircleIcon,@hugeicons/core-free-icons/HelpCircleIcon,circle-question-mark,message-circle-question-mark,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/card.tsx | packages/ui/src/components/data-table/data-table-column-header.tsx | packages/ui/src/components/metric-card.tsx
CreditCard,CreditCard | CreditCardIcon,3,0,3,credit-card,CreditCardIcon,@hugeicons/core-free-icons/CreditCardIcon,credit-card-accept,credit-card-add,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/command/index.tsx | apps/docs/src/pages/dropdown-menu/index.tsx | apps/docs/src/pages/input-group/index.tsx
Inbox,Inbox | InboxIcon,3,0,3,inbox,InboxIcon,@hugeicons/core-free-icons/InboxIcon,inbox-check,inbox-download,high,,Archive04Icon,Exact catalogue-name match; verify glyph,apps/docs/src/pages/context-menu/index.tsx | apps/docs/src/pages/empty/index.tsx | apps/docs/src/pages/structure/app-sidebar/demo.tsx
MessageCircleDashed,MessageCircleDashedIcon,3,0,3,message-circle-dashed,MessageCircleDashedIcon,@hugeicons/core-free-icons/MessageCircleDashedIcon,message-circle,message-circle-check,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/message-scroller/demos/anchoring-demo.tsx | apps/docs/src/pages/message-scroller/demos/animation-demo.tsx | apps/docs/src/pages/message-scroller/demos/streaming-demo.tsx
Reply,Reply | ReplyIcon,3,1,2,reply,ReplyIcon,@hugeicons/core-free-icons/ReplyIcon,reply-all,mail-reply-01,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/bubble/index.tsx | apps/docs/src/pages/message/index.tsx | packages/ui/src/components/reply-box/reply-box-actions.ts
Smile,Smile,3,1,2,smile,SmileIcon,@hugeicons/core-free-icons/SmileIcon,smile-dizzy,smile-plus,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/command/index.tsx | apps/docs/src/pages/emoji-picker/index.tsx | packages/ui/src/components/reply-box/reply-box-actions.ts
Star,Star,3,2,1,star,StarIcon,@hugeicons/core-free-icons/StarIcon,star-award-01,star-award-02,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/core/icons/index.tsx | packages/ui/src/components/app-sidebar.tsx | packages/ui/src/components/header.tsx
User,User | UserIcon,3,0,3,user,UserIcon,@hugeicons/core-free-icons/UserIcon,user-add-01,user-block-01,high,,User02Icon,Exact catalogue-name match; verify glyph,apps/docs/src/pages/command/index.tsx | apps/docs/src/pages/context-menu/index.tsx | apps/docs/src/pages/dropdown-menu/index.tsx
ArrowDown,ArrowDown | ArrowDownIcon,2,2,0,arrow-down-02,ArrowDown02Icon,@hugeicons/core-free-icons/ArrowDown02Icon,arrow-down-1-0,arrow-down-0-1,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/data-table/data-table-column-header.tsx | packages/ui/src/components/message-scroller.tsx
Bold,Bold,2,0,2,bold,BoldIcon,@hugeicons/core-free-icons/BoldIcon,text-bold,arrow-left-big,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/toggle-group/index.tsx | apps/docs/src/pages/toggle/index.tsx
Bookmark,Bookmark,2,1,1,bookmark-01,Bookmark01Icon,@hugeicons/core-free-icons/Bookmark01Icon,bookmark-add-01,bookmark-block-01,medium,,Bookmark02Icon,Curated semantic match; verify glyph,apps/docs/src/pages/toggle/index.tsx | packages/ui/src/components/reply-box/reply-box-actions.ts
Calendar,Calendar | CalendarIcon,2,1,1,calendar-03,Calendar03Icon,@hugeicons/core-free-icons/Calendar03Icon,calendar-01,calendar-add-01,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/command/index.tsx | packages/ui/src/components/date-picker.tsx
ChevronsUpDown,ChevronsUpDown,2,2,0,chevrons-down-up,ChevronsDownUpIcon,@hugeicons/core-free-icons/ChevronsDownUpIcon,list-chevrons-down-up,chevrons-down,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/data-table/data-table-column-header.tsx | packages/ui/src/components/telephone-field.tsx
CirclePlus,CirclePlus,2,2,0,circle-plus,CirclePlusIcon,@hugeicons/core-free-icons/CirclePlusIcon,circle-fading-plus,message-circle-plus,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-content.tsx | packages/ui/src/components/reply-box/reply-box-footer.tsx
CloudUpload,CloudUpload,2,2,0,cloud-upload,CloudUploadIcon,@hugeicons/core-free-icons/CloudUploadIcon,cloud-loading,folder-cloud,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/attachment.tsx | packages/ui/src/components/drop-zone.tsx
Folder,Folder | FolderIcon,2,1,1,folder-01,Folder01Icon,@hugeicons/core-free-icons/Folder01Icon,folder-shared-01,folder-02,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/context-menu/index.tsx | packages/ui/src/components/file-tree.tsx
Funnel,Funnel,2,1,1,funnel,FunnelIcon,@hugeicons/core-free-icons/FunnelIcon,funnel-plus,funnel-x,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/filters/index.tsx | packages/ui/src/components/filters.tsx
Headset,Headset,2,1,1,headset,HeadsetIcon,@hugeicons/core-free-icons/HeadsetIcon,headset-connected,headset-off,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/structure/app-sidebar/demo.tsx | packages/ui/src/components/app-header.tsx
LifeBuoy,LifeBuoy | LifeBuoyIcon,2,0,2,lifebuoy,LifebuoyIcon,@hugeicons/core-free-icons/LifebuoyIcon,customer-support,help-circle,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/context-menu/index.tsx | apps/docs/src/pages/sidebar/index.tsx
MessageSquareText,MessageSquareText,2,2,0,message-square-text,MessageSquareTextIcon,@hugeicons/core-free-icons/MessageSquareTextIcon,message-square,message-square-check,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx | packages/ui/src/components/app-header.tsx
Pencil,PencilIcon,2,0,2,pencil,PencilIcon,@hugeicons/core-free-icons/PencilIcon,pencil-edit-01,pencil-edit-02,high,,PencilEdit01Icon,Exact catalogue-name match; verify glyph,apps/docs/src/pages/context-menu/index.tsx | apps/docs/src/pages/dropdown-menu/index.tsx
Plus,Plus,2,1,1,plus,PlusIcon,@hugeicons/core-free-icons/PlusIcon,plus-minus-01,plus-minus-circle-01,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/button-group/index.tsx | packages/ui/src/components/number-field.tsx
RefreshCw,RefreshCw,2,1,1,refresh-cw,RefreshCwIcon,@hugeicons/core-free-icons/RefreshCwIcon,refresh-cw-off,refresh-ccw,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/button/index.tsx | packages/ui/src/components/attachment.tsx
SendHorizontal,SendHorizontal,2,2,0,send-horizontal,SendHorizontalIcon,@hugeicons/core-free-icons/SendHorizontalIcon,more-horizontal,more-horizontal-circle-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-content.tsx | packages/ui/src/components/reply-box/reply-box-footer.tsx
Square,Square,2,2,0,square,SquareIcon,@hugeicons/core-free-icons/SquareIcon,square-01,square-arrow-diagonal-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-content.tsx | packages/ui/src/components/reply-box/reply-box-footer.tsx
ThumbsDown,ThumbsDown,2,2,0,thumbs-down,ThumbsDownIcon,@hugeicons/core-free-icons/ThumbsDownIcon,thumbs-down-ellipse,thumbs-down-rectangle,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/message.tsx
ThumbsUp,ThumbsUp,2,2,0,thumbs-up,ThumbsUpIcon,@hugeicons/core-free-icons/ThumbsUpIcon,thumbs-up-down,thumbs-up-ellipse,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/chat-bubble.tsx | packages/ui/src/components/message.tsx
Trash,TrashIcon,2,0,2,trash,TrashIcon,@hugeicons/core-free-icons/TrashIcon,delete-01,delete-02,high,,Delete02Icon,Exact catalogue-name match; verify glyph,apps/docs/src/pages/context-menu/index.tsx | apps/docs/src/pages/dropdown-menu/index.tsx
AlertTriangle,AlertTriangle,1,1,0,triangle-alert,TriangleAlertIcon,@hugeicons/core-free-icons/TriangleAlertIcon,alert-02,alert-01,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/alert.tsx
AlignCenter,AlignCenter,1,0,1,text-align-center,TextAlignCenterIcon,@hugeicons/core-free-icons/TextAlignCenterIcon,align-horizontal-center,align-vertical-center,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/toggle-group/index.tsx
AlignLeft,AlignLeft,1,0,1,align-left,AlignLeftIcon,@hugeicons/core-free-icons/AlignLeftIcon,align-box-bottom-left,align-box-middle-left,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/toggle-group/index.tsx
AlignRight,AlignRight,1,0,1,align-right,AlignRightIcon,@hugeicons/core-free-icons/AlignRightIcon,align-box-bottom-right,align-box-middle-right,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/toggle-group/index.tsx
ArrowDownWideNarrow,ArrowDownWideNarrow,1,1,0,arrow-down-wide-narrow,ArrowDownWideNarrowIcon,@hugeicons/core-free-icons/ArrowDownWideNarrowIcon,arrow-down-narrow-wide,arrow-up-narrow-wide,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/filters.tsx
Bell,Bell,1,0,1,bell,BellIcon,@hugeicons/core-free-icons/BellIcon,bell-dot,bell-electric,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/badge/index.tsx
BookmarkPlus,BookmarkPlusIcon,1,0,1,bookmark-plus,BookmarkPlusIcon,@hugeicons/core-free-icons/BookmarkPlusIcon,bookmark-add-01,bookmark-add-02,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/tooltip/index.tsx
BookOpen,BookOpen,1,0,1,book-open-01,BookOpen01Icon,@hugeicons/core-free-icons/BookOpen01Icon,book-open-02,book-open-check,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/sidebar/index.tsx
BookOpenCheck,BookOpenCheck,1,0,1,book-open-check,BookOpenCheckIcon,@hugeicons/core-free-icons/BookOpenCheckIcon,book-check,book-open-01,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/marker/index.tsx
Box,Box,1,0,1,box,BoxIcon,@hugeicons/core-free-icons/BoxIcon,boom-box,bounding-box,high,,Blockchain01Icon,Exact catalogue-name match; verify glyph,apps/docs/src/pages/sidebar/index.tsx
Calculator,Calculator,1,0,1,calculator,CalculatorIcon,@hugeicons/core-free-icons/CalculatorIcon,calculator-01,abacus,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/command/index.tsx
CalendarPlus,CalendarPlus,1,1,0,calendar-plus,CalendarPlusIcon,@hugeicons/core-free-icons/CalendarPlusIcon,calendar-plus-01,calendar-add-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
CheckCircle,CheckCircle,1,1,0,circle-check,CircleCheckIcon,@hugeicons/core-free-icons/CircleCheckIcon,circle-check-big,message-circle-check,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/alert.tsx
ChevronUp,ChevronUpIcon,1,1,0,chevron-up,ChevronUpIcon,@hugeicons/core-free-icons/ChevronUpIcon,circle-chevron-up,square-chevron-up,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/select.tsx
Circle,Circle,1,1,0,circle,CircleIcon,@hugeicons/core-free-icons/CircleIcon,circle-arrow-diagonal-01,circle-arrow-down-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/app-header.tsx
CircleCheckBig,CircleCheckBig,1,1,0,circle-check-big,CircleCheckBigIcon,@hugeicons/core-free-icons/CircleCheckBigIcon,circle-check,circle-lock-check-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/toast.tsx
CircleMinus,CircleMinus,1,1,0,circle-minus,CircleMinusIcon,@hugeicons/core-free-icons/CircleMinusIcon,circle-lock-minus-01,circle-lock-minus-02,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/metric-card.tsx
ClosedCaption,ClosedCaption,1,1,0,closed-caption,ClosedCaptionIcon,@hugeicons/core-free-icons/ClosedCaptionIcon,closed-caption-alt,open-caption,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
CloudDownload,CloudDownload,1,1,0,cloud-download,CloudDownloadIcon,@hugeicons/core-free-icons/CloudDownloadIcon,cloud-backup,cloud-loading,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
Cog,Cog,1,1,0,cog,CogIcon,@hugeicons/core-free-icons/CogIcon,brain-cog,calendar-cog,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/data-table/data-table-select-actions.tsx
Columns3Cog,Columns3Cog,1,1,0,columns-3-cog,ColumnsThreeCogIcon,@hugeicons/core-free-icons/ColumnsThreeCogIcon,brain-cog,calendar-cog,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/data-table/data-table-column-toggle.tsx
Ellipsis,Ellipsis,1,1,0,ellipsis,EllipsisIcon,@hugeicons/core-free-icons/EllipsisIcon,ellipsis-vertical,circle-ellipsis,high,,EllipsisIcon,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-button-tray.tsx
Eye,Eye,1,1,0,eye,EyeIcon,@hugeicons/core-free-icons/EyeIcon,eye-closed,eye-off,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/sensitive-field.tsx
EyeOff,EyeOff,1,1,0,eye-off,EyeOffIcon,@hugeicons/core-free-icons/EyeOffIcon,eye-closed,view-off,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/sensitive-field.tsx
FileCode,FileCode,1,0,1,file-code,FileCodeIcon,@hugeicons/core-free-icons/FileCodeIcon,file-code-corner,file-braces,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/input-group/index.tsx
FileText,FileText,1,1,0,file-text,FileTextIcon,@hugeicons/core-free-icons/FileTextIcon,file-01,file-02,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/file-tree.tsx
FileWarning,FileWarning,1,1,0,file-exclamation-point,FileExclamationPointIcon,@hugeicons/core-free-icons/FileExclamationPointIcon,file-corrupt,user-warning-01,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/attachment.tsx
FolderOpen,FolderOpen,1,1,0,folder-open,FolderOpenIcon,@hugeicons/core-free-icons/FolderOpenIcon,folder-open-dot,folder-unlocked,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/file-tree.tsx
Forward,Forward,1,1,0,forward-01,Forward01Icon,@hugeicons/core-free-icons/Forward01Icon,forward-02,fast-forward,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
GitBranch,GitBranch,1,0,1,git-branch,GitBranchIcon,@hugeicons/core-free-icons/GitBranchIcon,git-branch-minus,git-branch-plus,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/marker/index.tsx
Globe2,Globe2Icon,1,1,0,globe-02,Globe02Icon,@hugeicons/core-free-icons/Globe02Icon,globe-lock,globe-off,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/telephone-field.tsx
GripVertical,GripVertical,1,1,0,grip-vertical,GripVerticalIcon,@hugeicons/core-free-icons/GripVerticalIcon,grip,grip-horizontal,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/sortable-list.tsx
House,House,1,0,1,house-01,House01Icon,@hugeicons/core-free-icons/House01Icon,house-02,house-03,medium,,Home04Icon,Curated semantic match; verify glyph,apps/docs/src/pages/structure/app-sidebar/demo.tsx
Image,Image,1,1,0,image-01,Image01Icon,@hugeicons/core-free-icons/Image01Icon,image-add-01,image-delete-01,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
ImageUp,ImageUp,1,0,1,image-up,ImageUpIcon,@hugeicons/core-free-icons/ImageUpIcon,image-plus,image-upload,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/attachment/index.tsx
Italic,Italic,1,0,1,italic,ItalicIcon,@hugeicons/core-free-icons/ItalicIcon,text-italic,text-italic-slash,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/toggle-group/index.tsx
Layers,Layers,1,0,1,layer,LayerIcon,@hugeicons/core-free-icons/LayerIcon,layer-mask-01,layer-mask-02,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/sidebar/index.tsx
ListFilterPlus,ListFilterPlus,1,1,0,list-filter-plus,ListFilterPlusIcon,@hugeicons/core-free-icons/ListFilterPlusIcon,list-filter,list-plus,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/filters.tsx
ListTodo,ListTodo,1,1,0,list-todo,ListTodoIcon,@hugeicons/core-free-icons/ListTodoIcon,list-checks,check-list,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
Loader,Loader | LoaderIcon,1,1,0,loader,LoaderIcon,@hugeicons/core-free-icons/LoaderIcon,loader-circle,loader-pinwheel,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/button.tsx
Loader2,Loader2,1,1,0,loading-03,Loading03Icon,@hugeicons/core-free-icons/Loading03Icon,loading-01,loading-02,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/toast.tsx
LockOpen,LockOpen,1,1,0,lock-open,LockOpenIcon,@hugeicons/core-free-icons/LockOpenIcon,lock-keyhole-open,lock-key,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/chat-head.tsx
Mail,Mail,1,0,1,mail-01,Mail01Icon,@hugeicons/core-free-icons/Mail01Icon,mail-account-01,mail-add-01,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/input-group/index.tsx
MailCheck,MailCheck,1,1,0,mail-check,MailCheckIcon,@hugeicons/core-free-icons/MailCheckIcon,mail-validation-01,mail-validation-02,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
MailPlus,MailPlus,1,1,0,mail-plus,MailPlusIcon,@hugeicons/core-free-icons/MailPlusIcon,mail-add-01,mail-add-02,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
Maximize2,Maximize2,1,1,0,maximize-02,Maximize02Icon,@hugeicons/core-free-icons/Maximize02Icon,maximize-01,maximize-03,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/reply-box/reply-box-header.tsx
MessageSquare,MessageSquare,1,1,0,message-square,MessageSquareIcon,@hugeicons/core-free-icons/MessageSquareIcon,message-square-check,message-square-code,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-button-tray.tsx
MessageSquareCheck,MessageSquareCheck,1,1,0,message-square-check,MessageSquareCheckIcon,@hugeicons/core-free-icons/MessageSquareCheckIcon,message-circle-check,message-square,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
Minimize2,Minimize2,1,1,0,minimize-02,Minimize02Icon,@hugeicons/core-free-icons/Minimize02Icon,minimize-01,minimize-03,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/reply-box/reply-box-header.tsx
MonitorCog,MonitorCog,1,1,0,monitor-cog,MonitorCogIcon,@hugeicons/core-free-icons/MonitorCogIcon,monitor,monitor-check,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
